Country,Region,Happiness Rank,Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Regional indicator,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,RANK,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita
Malta,,,6.602,,,,,,,0.133,,2021,,,,,,,,,,,,0.931,72.2,0.927,0.653,Western Europe,0.044,6.688,6.516,10.674,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,,,,,
"Taiwan, Province of China",,,6.584,,,,,,,-0.07,,2021,,,,,,,,,,,,0.898,69.6,0.784,0.721,East Asia,0.038,6.659,6.51,10.871,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,,,,,
United Arab Emirates,,,6.561,,,,,,,0.074,,2021,,,,,,,,,,,,0.844,67.333,0.932,0.589,Middle East and North Africa,0.039,6.637,6.484,11.085,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422,,,,,
Saudi Arabia,,,6.494,,,,,,,-0.149,,2021,,,,,,,,,,,,0.891,66.603,0.877,0.684,Middle East and North Africa,0.056,6.604,6.384,10.743,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668,,,,,
Spain,,,6.491,,,,,,,-0.081,,2021,,,,,,,,,,,,0.932,74.7,0.761,0.745,Western Europe,0.042,6.574,6.408,10.571,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,,,,,
Italy,,,6.483,,,,,,,-0.084,,2021,,,,,,,,,,,,0.88,73.8,0.693,0.866,Western Europe,0.045,6.572,6.395,10.623,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,,,,,
Slovenia,,,6.461,,,,,,,-0.101,,2021,,,,,,,,,,,,0.948,71.4,0.949,0.806,Central and Eastern Europe,0.043,6.546,6.376,10.529,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,,,,,
Guatemala,,,6.435,,,,,,,-0.038,,2021,,,,,,,,,,,,0.813,64.958,0.906,0.775,Latin America and Caribbean,0.073,6.577,6.292,9.053,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,,,,,
Uruguay,,,6.431,,,,,,,-0.092,,2021,,,,,,,,,,,,0.925,69.1,0.896,0.59,Latin America and Caribbean,0.046,6.521,6.341,9.966,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,,,,,
Singapore,,,6.377,,,,,,,-0.018,,2021,,,,,,,,,,,,0.915,76.953,0.927,0.082,Southeast Asia,0.043,6.46,6.293,11.488,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,,,,,
Kosovo,,,6.372,,,,,,,0.257,,2021,,,,,,,,,,,,0.821,63.813,0.869,0.917,Central and Eastern Europe,0.059,6.487,6.257,9.318,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,,,,,
Slovakia,,,6.331,,,,,,,-0.124,,2021,,,,,,,,,,,,0.936,69.201,0.766,0.911,Central and Eastern Europe,0.041,6.411,6.251,10.369,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,,,,,
Brazil,,,6.33,,,,,,,-0.071,,2021,,,,,,,,,,,,0.882,66.601,0.804,0.756,Latin America and Caribbean,0.043,6.415,6.245,9.577,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,,,,,
Mexico,,,6.317,,,,,,,-0.147,,2021,,,,,,,,,,,,0.831,68.597,0.862,0.799,Latin America and Caribbean,0.053,6.42,6.213,9.859,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,,,,,
Jamaica,,,6.309,,,,,,,-0.137,,2021,,,,,,,,,,,,0.877,67.5,0.89,0.884,Latin America and Caribbean,0.156,6.615,6.004,9.186,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,,,,,
Lithuania,,,6.255,,,,,,,-0.203,,2021,,,,,,,,,,,,0.935,67.906,0.773,0.826,Central and Eastern Europe,0.045,6.344,6.167,10.499,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,,,,,
Cyprus,,,6.223,,,,,,,-0.015,,2021,,,,,,,,,,,,0.802,73.898,0.763,0.844,Western Europe,0.049,6.319,6.128,10.576,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,,,,,
Estonia,,,6.189,,,,,,,-0.106,,2021,,,,,,,,,,,,0.941,68.8,0.909,0.527,Central and Eastern Europe,0.038,6.263,6.115,10.481,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,,,,,
Panama,,,6.18,,,,,,,-0.166,,2021,,,,,,,,,,,,0.896,69.652,0.872,0.856,Latin America and Caribbean,0.073,6.323,6.036,10.35,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,,,,,
Uzbekistan,,,6.179,,,,,,,0.311,,2021,,,,,,,,,,,,0.918,65.255,0.97,0.515,Commonwealth of Independent States,0.068,6.312,6.045,8.836,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,,,,,
Chile,,,6.172,,,,,,,-0.044,,2021,,,,,,,,,,,,0.882,70.0,0.742,0.83,Latin America and Caribbean,0.046,6.262,6.081,10.071,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,,,,,
Poland,,,6.166,,,,,,,-0.165,,2021,,,,,,,,,,,,0.898,69.702,0.841,0.735,Central and Eastern Europe,0.04,6.245,6.087,10.382,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,,,,,
Kazakhstan,,,6.152,,,,,,,-0.069,,2021,,,,,,,,,,,,0.952,65.2,0.853,0.733,Commonwealth of Independent States,0.047,6.243,6.06,10.155,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,,,,,
Romania,,,6.14,,,,,,,-0.219,,2021,,,,,,,,,,,,0.832,67.355,0.845,0.938,Central and Eastern Europe,0.057,6.253,6.027,10.284,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,,,,,
Kuwait,,,6.106,,,,,,,-0.104,,2021,,,,,,,,,,,,0.843,66.9,0.867,0.736,Middle East and North Africa,0.066,6.235,5.977,10.817,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,,,,,
Serbia,,,6.078,,,,,,,0.002,,2021,,,,,,,,,,,,0.873,68.6,0.778,0.835,Central and Eastern Europe,0.053,6.181,5.974,9.787,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,,,,,
El Salvador,,,6.061,,,,,,,-0.11,,2021,,,,,,,,,,,,0.762,66.402,0.888,0.688,Latin America and Caribbean,0.065,6.188,5.933,9.054,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,,,,,
Mauritius,,,6.049,,,,,,,-0.054,,2021,,,,,,,,,,,,0.905,66.701,0.867,0.789,Sub-Saharan Africa,0.059,6.165,5.933,10.008,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,,,,,
Latvia,,,6.032,,,,,,,-0.162,,2021,,,,,,,,,,,,0.927,67.1,0.715,0.8,Central and Eastern Europe,0.036,6.103,5.961,10.315,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,,,,,
Colombia,,,6.012,,,,,,,-0.135,,2021,,,,,,,,,,,,0.847,68.001,0.837,0.841,Latin America and Caribbean,0.061,6.132,5.892,9.557,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,,,,,
Hungary,,,5.992,,,,,,,-0.186,,2021,,,,,,,,,,,,0.943,68.0,0.755,0.876,Central and Eastern Europe,0.047,6.085,5.899,10.358,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,,,,,
Thailand,,,5.985,,,,,,,0.287,,2021,,,,,,,,,,,,0.888,67.401,0.884,0.895,Southeast Asia,0.047,6.077,5.893,9.805,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,,,,,
Nicaragua,,,5.972,,,,,,,0.02,,2021,,,,,,,,,,,,0.864,67.657,0.836,0.664,Latin America and Caribbean,0.083,6.134,5.81,8.62,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,,,,,
Japan,,,5.94,,,,,,,-0.258,,2021,,,,,,,,,,,,0.884,75.1,0.796,0.638,East Asia,0.04,6.02,5.861,10.611,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,,,,,
Argentina,,,5.929,,,,,,,-0.182,,2021,,,,,,,,,,,,0.898,69.0,0.828,0.834,Latin America and Caribbean,0.056,6.04,5.819,9.962,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,,,,,
Portugal,,,5.929,,,,,,,-0.244,,2021,,,,,,,,,,,,0.879,72.6,0.892,0.887,Western Europe,0.055,6.037,5.821,10.421,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,,,,,
Honduras,,,5.919,,,,,,,0.081,,2021,,,,,,,,,,,,0.812,67.3,0.857,0.809,Latin America and Caribbean,0.082,6.081,5.758,8.648,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,,,,,
Croatia,,,5.882,,,,,,,-0.118,,2021,,,,,,,,,,,,0.924,70.799,0.754,0.939,Central and Eastern Europe,0.048,5.975,5.788,10.217,2.43,1.251,1.039,0.703,0.453,0.111,0.0,2.325,,,,,
Philippines,,,5.88,,,,,,,-0.097,,2021,,,,,,,,,,,,0.83,62.0,0.917,0.742,Southeast Asia,0.052,5.982,5.778,9.076,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,,,,,
"Korea, Republic of",,,5.845,,,,,,,-0.083,,2021,,,,,,,,,,,,0.799,73.9,0.672,0.727,East Asia,0.042,5.928,5.763,10.651,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,,,,,
Peru,,,5.84,,,,,,,-0.154,,2021,,,,,,,,,,,,0.832,68.25,0.822,0.891,Latin America and Caribbean,0.075,5.988,5.692,9.458,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,,,,,
Bosnia and Herzegovina,,,5.813,,,,,,,0.113,,2021,,,,,,,,,,,,0.87,68.098,0.706,0.931,Central and Eastern Europe,0.05,5.911,5.715,9.59,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,,,,,
"Moldova, Republic of",,,5.766,,,,,,,-0.079,,2021,,,,,,,,,,,,0.857,65.699,0.822,0.918,Commonwealth of Independent States,0.046,5.856,5.677,9.454,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,,,,,
Ecuador,,,5.764,,,,,,,-0.124,,2021,,,,,,,,,,,,0.821,68.8,0.842,0.843,Latin America and Caribbean,0.057,5.875,5.653,9.313,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,,,,,
Kyrgyzstan,,,5.744,,,,,,,0.119,,2021,,,,,,,,,,,,0.893,64.401,0.935,0.908,Commonwealth of Independent States,0.046,5.834,5.653,8.538,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,,,,,
Greece,,,5.723,,,,,,,-0.288,,2021,,,,,,,,,,,,0.823,72.6,0.582,0.823,Western Europe,0.046,5.813,5.632,10.279,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561,,,,,
"Bolivia, Plurinational State of",,,5.716,,,,,,,-0.077,,2021,,,,,,,,,,,,0.81,63.901,0.875,0.839,Latin America and Caribbean,0.053,5.819,5.613,9.046,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,,,,,
Mongolia,,,5.677,,,,,,,0.116,,2021,,,,,,,,,,,,0.935,62.5,0.708,0.856,East Asia,0.042,5.76,5.595,9.4,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,,,,,
Paraguay,,,5.653,,,,,,,0.028,,2021,,,,,,,,,,,,0.893,65.9,0.876,0.882,Latin America and Caribbean,0.092,5.832,5.473,9.448,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,,,,,
Montenegro,,,5.581,,,,,,,-0.034,,2021,,,,,,,,,,,,0.858,68.699,0.708,0.812,Central and Eastern Europe,0.054,5.686,5.475,9.94,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,,,,,
Dominican Republic,,,5.545,,,,,,,-0.133,,2021,,,,,,,,,,,,0.853,66.102,0.86,0.714,Latin America and Caribbean,0.071,5.685,5.405,9.802,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,,,,,
Cyprus,,,5.536,,,,,,,0.012,,2021,,,,,,,,,,,,0.82,73.898,0.795,0.626,Western Europe,0.051,5.636,5.435,10.576,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,,,,,
Belarus,,,5.534,,,,,,,-0.18,,2021,,,,,,,,,,,,0.91,66.253,0.65,0.627,Commonwealth of Independent States,0.047,5.625,5.442,9.853,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,,,,,
Russian Federation,,,5.477,,,,,,,-0.111,,2021,,,,,,,,,,,,0.903,64.703,0.718,0.845,Commonwealth of Independent States,0.033,5.541,5.413,10.189,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,,,,,
China,,,5.477,,,,,,,0.067,,2021,,,,,,,,,,,,0.836,76.82,0.717,0.403,East Asia,0.049,5.573,5.38,11.0,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236,,,,,
Tajikistan,,,5.466,,,,,,,-0.056,,2021,,,,,,,,,,,,0.86,64.281,0.832,0.553,Commonwealth of Independent States,0.034,5.532,5.4,8.091,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619,,,,,
Viet Nam,,,5.411,,,,,,,-0.098,,2021,,,,,,,,,,,,0.85,68.034,0.94,0.796,Southeast Asia,0.039,5.488,5.334,8.973,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,,,,,
Libya,,,5.41,,,,,,,-0.087,,2021,,,,,,,,,,,,0.827,62.3,0.771,0.667,Middle East and North Africa,0.076,5.558,5.262,9.622,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,,,,,
Malaysia,,,5.384,,,,,,,0.125,,2021,,,,,,,,,,,,0.817,67.102,0.895,0.839,Southeast Asia,0.049,5.48,5.289,10.238,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,,,,,
Indonesia,,,5.345,,,,,,,0.542,,2021,,,,,,,,,,,,0.811,62.236,0.873,0.867,Southeast Asia,0.056,5.454,5.235,9.365,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,,,,,
Congo,,,5.342,,,,,,,-0.068,,2021,,,,,,,,,,,,0.636,58.221,0.695,0.745,Sub-Saharan Africa,0.097,5.533,5.151,8.117,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,,,,,
China,,,5.339,,,,,,,-0.146,,2021,,,,,,,,,,,,0.811,69.593,0.904,0.755,East Asia,0.029,5.397,5.281,9.673,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,,,,,
Ivory Coast,,,5.306,,,,,,,-0.016,,2021,,,,,,,,,,,,0.644,50.114,0.741,0.794,Sub-Saharan Africa,0.078,5.46,5.152,8.551,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,,,,,
Armenia,,,5.283,,,,,,,-0.168,,2021,,,,,,,,,,,,0.799,67.055,0.825,0.629,Commonwealth of Independent States,0.058,5.397,5.168,9.487,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,,,,,
Nepal,,,5.269,,,,,,,0.152,,2021,,,,,,,,,,,,0.774,64.233,0.782,0.727,South Asia,0.07,5.406,5.132,8.12,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,,,,,
Bulgaria,,,5.266,,,,,,,-0.096,,2021,,,,,,,,,,,,0.931,67.0,0.788,0.932,Central and Eastern Europe,0.054,5.371,5.16,10.016,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,,,,,
Maldives,,,5.198,,,,,,,0.024,,2021,,,,,,,,,,,,0.913,70.6,0.854,0.825,South Asia,0.072,5.339,5.057,9.826,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,,,,,
Azerbaijan,,,5.171,,,,,,,-0.223,,2021,,,,,,,,,,,,0.836,65.656,0.814,0.506,Commonwealth of Independent States,0.04,5.25,5.091,9.569,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,,,,,
Cameroon,,,5.142,,,,,,,0.026,,2021,,,,,,,,,,,,0.71,53.515,0.731,0.848,Sub-Saharan Africa,0.074,5.288,4.996,8.189,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,,,,,
Senegal,,,5.132,,,,,,,-0.046,,2021,,,,,,,,,,,,0.71,59.802,0.695,0.801,Sub-Saharan Africa,0.068,5.266,4.998,8.118,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,,,,,
Albania,,,5.117,,,,,,,-0.03,,2021,,,,,,,,,,,,0.697,68.999,0.785,0.901,Central and Eastern Europe,0.059,5.234,5.001,9.52,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,,,,,
North Macedonia,,,5.101,,,,,,,0.038,,2021,,,,,,,,,,,,0.805,65.474,0.751,0.905,Central and Eastern Europe,0.051,5.202,5.001,9.693,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,,,,,
Ghana,,,5.088,,,,,,,0.123,,2021,,,,,,,,,,,,0.727,57.586,0.807,0.848,Sub-Saharan Africa,0.067,5.219,4.958,8.58,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,,,,,
Niger,,,5.074,,,,,,,0.018,,2021,,,,,,,,,,,,0.641,53.78,0.806,0.693,Sub-Saharan Africa,0.102,5.273,4.875,7.098,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,,,,,
Turkmenistan,,,5.066,,,,,,,0.273,,2021,,,,,,,,,,,,0.983,62.409,0.877,0.888,Commonwealth of Independent States,0.036,5.136,4.996,9.629,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,,,,,
Gambia,,,5.051,,,,,,,0.424,,2021,,,,,,,,,,,,0.69,55.16,0.697,0.746,Sub-Saharan Africa,0.089,5.225,4.877,7.686,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,,,,,
Benin,,,5.045,,,,,,,-0.034,,2021,,,,,,,,,,,,0.489,54.713,0.757,0.661,Sub-Saharan Africa,0.073,5.189,4.901,8.087,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,,,,,
Lao People's Democratic Republic,,,5.03,,,,,,,0.123,,2021,,,,,,,,,,,,0.728,58.968,0.91,0.658,Southeast Asia,0.045,5.119,4.941,8.947,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,,,,,
Bangladesh,,,5.025,,,,,,,-0.041,,2021,,,,,,,,,,,,0.693,64.8,0.877,0.682,South Asia,0.046,5.115,4.934,8.454,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,,,,,
Guinea,,,4.984,,,,,,,0.095,,2021,,,,,,,,,,,,0.639,55.008,0.697,0.766,Sub-Saharan Africa,0.09,5.16,4.808,7.838,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,,,,,
South Africa,,,4.956,,,,,,,-0.067,,2021,,,,,,,,,,,,0.86,56.904,0.749,0.86,Sub-Saharan Africa,0.06,5.074,4.839,9.403,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,,,,,
Turkey,,,4.948,,,,,,,-0.139,,2021,,,,,,,,,,,,0.822,67.199,0.576,0.776,Middle East and North Africa,0.046,5.038,4.857,10.24,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,,,,,
Pakistan,,,4.934,,,,,,,0.098,,2021,,,,,,,,,,,,0.651,58.709,0.726,0.787,South Asia,0.068,5.066,4.802,8.458,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,,,,,
Morocco,,,4.918,,,,,,,-0.236,,2021,,,,,,,,,,,,0.56,66.208,0.774,0.801,Middle East and North Africa,0.06,5.036,4.8,8.903,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,,,,,
"Venezuela, Bolivarian Republic of",,,4.892,,,,,,,-0.169,,2021,,,,,,,,,,,,0.861,66.7,0.615,0.827,Latin America and Caribbean,0.064,5.017,4.767,9.073,2.43,0.852,0.897,0.574,0.284,0.078,0.072,2.135,,,,,
Georgia,,,4.891,,,,,,,-0.238,,2021,,,,,,,,,,,,0.671,64.3,0.783,0.655,Commonwealth of Independent States,0.054,4.998,4.785,9.585,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,,,,,
Algeria,,,4.887,,,,,,,-0.067,,2021,,,,,,,,,,,,0.802,66.005,0.48,0.752,Middle East and North Africa,0.053,4.991,4.783,9.342,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,,,,,
Ukraine,,,4.875,,,,,,,-0.011,,2021,,,,,,,,,,,,0.888,64.902,0.724,0.924,Commonwealth of Independent States,0.052,4.977,4.773,9.436,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813,,,,,
Iraq,,,4.854,,,,,,,-0.053,,2021,,,,,,,,,,,,0.746,60.583,0.63,0.875,Middle East and North Africa,0.059,4.97,4.738,9.24,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,,,,,
Gabon,,,4.852,,,,,,,-0.2,,2021,,,,,,,,,,,,0.776,59.962,0.731,0.84,Sub-Saharan Africa,0.075,4.998,4.706,9.603,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,,,,,
Burkina Faso,,,4.834,,,,,,,-0.009,,2021,,,,,,,,,,,,0.672,54.151,0.695,0.748,Sub-Saharan Africa,0.081,4.993,4.675,7.678,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,,,,,
Cambodia,,,4.83,,,,,,,0.034,,2021,,,,,,,,,,,,0.765,62.0,0.959,0.843,Southeast Asia,0.067,4.963,4.698,8.36,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148,,,,,
Mozambique,,,4.794,,,,,,,0.061,,2021,,,,,,,,,,,,0.744,54.706,0.882,0.684,Sub-Saharan Africa,0.103,4.997,4.592,7.158,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783,,,,,
Nigeria,,,4.759,,,,,,,0.037,,2021,,,,,,,,,,,,0.74,50.102,0.737,0.878,Sub-Saharan Africa,0.052,4.861,4.658,8.533,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,,,,,
Mali,,,4.723,,,,,,,-0.036,,2021,,,,,,,,,,,,0.724,51.969,0.697,0.827,Sub-Saharan Africa,0.082,4.884,4.563,7.744,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,,,,,
"Iran, Islamic Republic of",,,4.721,,,,,,,0.218,,2021,,,,,,,,,,,,0.71,66.3,0.608,0.714,Middle East and North Africa,0.055,4.828,4.614,9.584,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,,,,,
Uganda,,,4.636,,,,,,,0.122,,2021,,,,,,,,,,,,0.781,56.101,0.709,0.855,Sub-Saharan Africa,0.073,4.78,4.493,7.677,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,,,,,
Liberia,,,4.625,,,,,,,0.05,,2021,,,,,,,,,,,,0.72,56.498,0.735,0.85,Sub-Saharan Africa,0.106,4.833,4.417,7.288,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,,,,,
Kenya,,,4.607,,,,,,,0.287,,2021,,,,,,,,,,,,0.688,60.704,0.779,0.825,Sub-Saharan Africa,0.072,4.747,4.466,8.361,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,,,,,
Tunisia,,,4.596,,,,,,,-0.201,,2021,,,,,,,,,,,,0.691,67.201,0.656,0.87,Middle East and North Africa,0.058,4.709,4.484,9.266,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,,,,,
Lebanon,,,4.584,,,,,,,-0.073,,2021,,,,,,,,,,,,0.848,67.355,0.525,0.898,Middle East and North Africa,0.055,4.691,4.477,9.626,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,,,,,
Namibia,,,4.574,,,,,,,-0.149,,2021,,,,,,,,,,,,0.818,56.799,0.719,0.847,Sub-Saharan Africa,0.064,4.7,4.448,9.161,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,,,,,
"Palestine, State of",,,4.517,,,,,,,-0.163,,2021,,,,,,,,,,,,0.826,62.25,0.653,0.821,Middle East and North Africa,0.067,4.649,4.384,8.485,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,,,,,
Myanmar,,,4.426,,,,,,,0.509,,2021,,,,,,,,,,,,0.779,59.302,0.876,0.66,Southeast Asia,0.052,4.527,4.324,8.541,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,,,,,
Jordan,,,4.395,,,,,,,-0.167,,2021,,,,,,,,,,,,0.767,67.0,0.755,0.705,Middle East and North Africa,0.062,4.516,4.273,9.182,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,,,,,
Chad,,,4.355,,,,,,,0.041,,2021,,,,,,,,,,,,0.619,48.478,0.579,0.807,Sub-Saharan Africa,0.094,4.54,4.171,7.364,2.43,0.255,0.353,0.0,0.24,0.215,0.084,3.209,,,,,
Sri Lanka,,,4.325,,,,,,,0.079,,2021,,,,,,,,,,,,0.827,67.299,0.841,0.863,South Asia,0.066,4.454,4.196,9.47,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,,,,,
Swaziland,,,4.308,,,,,,,-0.185,,2021,,,,,,,,,,,,0.77,50.833,0.647,0.708,Sub-Saharan Africa,0.071,4.448,4.168,9.065,2.43,0.849,0.693,0.074,0.323,0.067,0.147,2.155,,,,,
Comoros,,,4.289,,,,,,,0.082,,2021,,,,,,,,,,,,0.626,57.349,0.548,0.781,Sub-Saharan Africa,0.084,4.454,4.123,8.031,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,,,,,
Egypt,,,4.283,,,,,,,-0.182,,2021,,,,,,,,,,,,0.75,61.998,0.749,0.795,Middle East and North Africa,0.045,4.371,4.195,9.367,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,,,,,
Ethiopia,,,4.275,,,,,,,0.082,,2021,,,,,,,,,,,,0.764,59.0,0.752,0.761,Sub-Saharan Africa,0.051,4.374,4.175,7.694,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,,,,,
Mauritania,,,4.227,,,,,,,-0.106,,2021,,,,,,,,,,,,0.795,57.161,0.561,0.731,Sub-Saharan Africa,0.07,4.365,4.09,8.542,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,,,,,
Madagascar,,,4.208,,,,,,,-0.005,,2021,,,,,,,,,,,,0.686,59.305,0.552,0.803,Sub-Saharan Africa,0.072,4.349,4.068,7.396,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,,,,,
Togo,,,4.107,,,,,,,0.032,,2021,,,,,,,,,,,,0.569,54.914,0.619,0.772,Sub-Saharan Africa,0.077,4.258,3.956,7.362,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,,,,,
Zambia,,,4.073,,,,,,,0.061,,2021,,,,,,,,,,,,0.708,55.809,0.782,0.823,Sub-Saharan Africa,0.069,4.209,3.938,8.145,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975,,,,,
Sierra Leone,,,3.849,,,,,,,0.084,,2021,,,,,,,,,,,,0.63,51.651,0.717,0.866,Sub-Saharan Africa,0.077,4.001,3.698,7.434,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396,,,,,
